pH,T_C,time_h,f_CaWO4,f_MnWO4,S_CaWO4,E_diss,xrd_detectable,gate1_pass
9.0,80,8,0.22192188358257028,0.030512843492966367,30745.206201719415,0.9706698826480589,True,True
9.0,80,12,0.22192188358257028,0.030512843492966367,30745.206201719415,0.9706698826480589,True,True
9.0,100,2,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,100,4,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,100,8,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,100,12,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,120,2,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,120,4,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,120,8,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,120,12,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,150,2,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,150,4,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,150,8,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,150,12,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,180,2,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.0,180,4,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.0,180,8,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.0,180,12,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.5,60,2,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,60,4,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,60,8,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,60,12,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,80,2,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
9.5,80,4,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
